CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Churn
13047.0,31,10,3237.54,3,4,4,344,Loyal Customers,1
12583.0,2,15,7281.38,4,4,4,444,Champions,0
13748.0,95,5,948.25,2,3,3,233,At Risk,1
15100.0,333,3,876.0,1,3,3,133,At Risk,1
15291.0,25,15,4668.3,3,4,4,344,Loyal Customers,0
14688.0,7,21,5630.87,4,4,4,444,Champions,0
15311.0,0,91,60767.9,4,4,4,444,Champions,0
16098.0,87,7,2005.63,2,4,4,244,At Risk,1
17420.0,50,3,598.83,3,3,2,332,Loyal Customers,1
16029.0,38,63,81024.84,3,4,4,344,Loyal Customers,1
16250.0,261,2,389.44,1,2,2,122,Lost,1
12431.0,35,15,6487.45,3,4,4,344,Loyal Customers,1
17511.0,2,31,91062.38,4,4,4,444,Champions,0
13705.0,7,3,711.86,4,3,3,433,Loyal Customers,0
13747.0,373,1,79.6,1,1,1,111,Lost,1
13408.0,1,62,28117.04,4,4,4,444,Champions,0
13767.0,2,37,17220.36,4,4,4,444,Champions,0
13448.0,16,6,3539.37,4,4,4,444,Champions,0
15862.0,8,4,832.88,4,3,3,433,Loyal Customers,0
15513.0,33,19,14758.22,3,4,4,344,Loyal Customers,1
12791.0,373,1,192.6,1,1,1,111,Lost,1
16218.0,29,7,3084.68,3,4,4,344,Loyal Customers,0
14045.0,109,4,1659.75,2,3,3,233,At Risk,1
14307.0,88,6,2995.72,2,4,4,244,At Risk,1
12838.0,33,2,683.13,3,2,3,323,Average,1
13255.0,9,2,399.51,4,2,2,422,Average,0
16583.0,373,1,233.45,1,1,1,111,Lost,1
13758.0,11,7,3190.55,4,4,4,444,Champions,0
13694.0,3,50,65039.62,4,4,4,444,Champions,0
15983.0,22,4,1475.02,3,3,3,333,Loyal Customers,0
14849.0,21,25,7930.54,3,4,4,344,Loyal Customers,0
16210.0,1,18,21086.3,4,4,4,444,Champions,0
17377.0,23,20,4100.92,3,4,4,344,Loyal Customers,0
16552.0,242,2,379.73,1,2,2,122,Lost,1
17181.0,57,2,239.92,2,2,1,221,Average,1
14729.0,373,1,313.49,1,1,2,112,Lost,1
12748.0,0,209,33719.73,4,4,4,444,Champions,0
15012.0,53,2,423.04,2,2,2,222,Average,1
12868.0,185,6,1607.06,1,4,3,143,At Risk,1
17572.0,71,4,226.75,2,3,1,231,At Risk,1
14078.0,101,6,1049.37,2,4,3,243,At Risk,1
14001.0,45,3,2043.08,3,3,4,334,Loyal Customers,1
12662.0,0,11,3849.78,4,4,4,444,Champions,0
15525.0,2,3,825.92,4,3,3,433,Loyal Customers,0
14237.0,373,1,161.0,1,1,1,111,Lost,1
15485.0,30,3,2575.0,3,3,4,334,Loyal Customers,0
12433.0,0,7,13375.87,4,4,4,444,Champions,0
16955.0,184,4,518.67,1,3,2,132,At Risk,1
15350.0,373,1,115.65,1,1,1,111,Lost,1
15605.0,36,5,1198.23,3,3,3,333,Loyal Customers,1
15922.0,373,1,369.5,1,1,2,112,Lost,1
14594.0,7,2,379.83,4,2,2,422,Average,0
15165.0,373,1,487.75,1,1,2,112,Lost,1
14911.0,1,201,143825.06,4,4,4,444,Champions,0
16456.0,99,5,2158.37,2,3,4,234,At Risk,1
,0,1428,1755276.64,4,4,4,444,Champions,0
17346.0,3,15,2676.56,4,4,4,444,Champions,0
17643.0,373,1,101.55,1,1,1,111,Lost,1
13093.0,275,8,7832.47,1,4,4,144,At Risk,1
12921.0,9,37,16587.09,4,4,4,444,Champions,0
13468.0,1,37,5704.97,4,4,4,444,Champions,0
16928.0,80,17,2847.6,2,4,4,244,At Risk,1
16048.0,373,2,256.44,1,2,1,121,Lost,1
16274.0,373,1,357.95,1,1,2,112,Lost,1
14496.0,311,2,538.81,1,2,2,122,Lost,1
14696.0,4,7,2078.95,4,4,4,444,Champions,0
16539.0,2,4,1388.81,4,3,3,433,Loyal Customers,0
17025.0,60,3,357.77,2,3,2,232,At Risk,1
